DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
10.03,17.36,8.02,68.76,11.93,404.28,3.18,0.09,0.07,0.57
10.14,17.39,8.05,69.99,13.34,404.67,3.18,0.08,0.07,0.62
10.12,17.31,8.06,62.82,13.58,406.25,3.26,0.08,0.07,0.58
9.88,16.71,8.02,70.57,11.11,404.06,3.17,0.08,0.07,0.4
9.87,15.96,8.02,67.23,10.34,401.78,3.19,0.1,0.08,0.31
10,15.52,8.02,70.3,11.18,403.03,3.25,0.09,0.07,0.4
10.02,15.95,8,78.36,10.54,398.18,3.16,0.11,0.09,0.66
10.46,16.59,8.05,68.48,11.76,397.25,3.01,0.1,0.08,0.68
10.49,16.63,8.06,67.54,13.72,398.76,2.95,0.09,0.08,0.65
10.49,17.19,8.07,63.89,13.22,400.61,2.89,0.08,0.07,0.67
10.45,17.7,8.16,49.82,16.86,398.08,2.95,0.07,0.06,0.7
9.97,18.06,8.07,69.98,14.82,397.94,2.97,0.07,0.07,0.78
9.59,16.99,7.88,113.04,11.03,400.38,3.26,0.16,0.1,0.35
9.75,15.57,7.97,70.03,16.22,405.86,3.04,0.12,0.07,0.28
10.02,14.79,8.04,62.09,15.69,401.35,2.88,0.1,0.06,0.37
10.07,14.13,7.96,73.71,12.01,401.19,2.87,0.13,0.07,0.39
10.26,13.81,7.94,71.83,14.42,399.75,2.81,0.13,0.07,0.59
10.06,13.98,7.93,68.87,15.61,399.71,2.76,0.14,0.07,0.37
9.9,14.12,7.85,77.52,11.28,398.49,2.8,0.16,0.07,0.38
10,14.82,7.88,75.8,10.56,398.1,2.87,0.17,0.07,0.51
10.39,14.61,7.94,63.26,12.95,397.85,2.76,0.12,0.07,0.55
10.47,14.83,7.95,53.55,13.69,394.14,2.78,0.08,0.06,0.47
10.27,14.88,7.95,54.01,14.32,395.9,2.69,0.09,0.06,0.47
10.2,15.24,7.94,58.27,10.82,396.05,2.63,0.13,0.06,0.54
10.27,14.9,7.94,68.11,10.57,395.65,3.22,0.13,0.07,0.85
10.34,14.57,7.94,77.95,10.32,395.24,3.81,0.13,0.07,1.17
10.41,14.23,7.94,87.79,10.08,394.84,4.4,0.13,0.07,1.49
10.48,13.9,7.93,97.63,9.83,394.43,5,0.13,0.08,1.81
10.48,13.9,7.93,97.63,9.83,394.43,5,0.13,0.08,1.81
10.78,12.14,7.96,82.68,10.02,394.63,5.11,0.14,0.08,1.96
11.32,9.92,7.99,69.64,9.47,394.72,3.09,0.14,0.07,1.43
11.7,9.09,8.01,65.35,8.61,397.36,2.88,0.13,0.07,1.14
11.75,8.84,7.99,65.9,8.11,397.56,1.72,0.13,0.07,1.07
11.61,8.56,7.89,56.95,8.22,429.41,1.49,0.17,0.06,1.67
12.02,8.09,7.97,60.89,6.57,399.31,1.29,0.13,0.07,1.51
12.02,8.03,7.97,56.48,6.31,415.58,1.18,0.14,0.07,1.16
11.73,8.17,7.91,48.14,7.3,469.03,1.6,0.21,0.06,1.55
10.69,9.39,7.8,32.81,5.11,553.28,2.67,0.22,0.05,1.83
11.57,8.62,7.89,46.08,7.38,453.21,2.71,0.17,0.06,1.19
11.41,8.94,7.85,43.68,6.41,494.88,2.52,0.19,0.06,1.51
11.78,8.76,7.9,44.9,7.21,492.12,2.69,0.17,0.06,2.42
12.02,8.26,7.92,50.94,7.48,484.92,2.72,0.17,0.06,2.45
12.26,7.91,7.95,60.24,7.68,443.97,2.76,0.14,0.06,2.46
12.48,7.58,7.98,48.65,8.23,473.3,2.84,0.13,0.06,2.51
12.81,7.16,8.02,58.95,10.22,401.66,2.75,0.11,0.06,2.34
12.76,6.92,7.98,58,8.86,404.48,2.9,0.09,0.06,2.25
13.03,6,7.98,99.67,9.08,402.65,3.1,0.11,0.08,2.44
13.45,4.93,8.01,108.89,9.49,400.03,2.5,0.13,0.09,2.88
13.66,4.82,8.05,75.29,9.66,443.6,2.04,0.12,0.07,2.47
13.7,4.65,8.05,59.81,10.03,454.45,1.91,0.12,0.06,2.31
13.45,4.91,8.04,59.65,9.65,437.76,1.78,0.11,0.06,2.01
13.62,4.3,7.55,106.16,8.13,464.12,2.8,0.17,0.06,2.22
13.68,4.54,7.8,77.49,10.04,445.12,2.69,0.12,0.06,2.04
13.75,4.79,8.04,48.83,11.95,426.12,2.59,0.08,0.06,1.87
13.64,4.58,8.05,44.44,11.78,408.72,2.42,0.06,0.06,1.69
13.61,4.59,8.07,42.2,12.52,419.99,2.37,0.06,0.06,1.68
13.66,4.52,8.09,39.54,13.4,402.35,2.45,0.05,0.06,1.49
13.71,4.53,8.08,40,14.59,400.79,2.49,0.05,0.06,1.43
13.61,4.45,8.12,33.94,14.25,408.66,2.52,0.04,0.05,1.39
13.71,4.56,8.14,34.28,15.29,410.74,2.54,0.04,0.06,1.4
14.24,4.51,8.16,30.28,16.54,438.36,2.64,0.04,0.05,1.51
14.72,5.12,8.27,24.19,18.77,459.18,2.8,0.03,0.05,1.68
14.72,5.12,8.27,23.9,21.63,430.92,2.69,0.03,0.05,1.38
14.76,5.3,8.35,24.5,23.08,398.27,2.78,0.03,0.05,1.01
14.78,5.4,8.33,24.69,21.13,409.3,2.8,0.03,0.05,1.09
14.77,5.75,8.33,24.69,25.09,416.12,2.93,0.03,0.05,1.16
14.69,5.91,8.35,24.02,23.53,409.91,2.92,0.03,0.05,1.09
14.92,6.89,8.42,22.09,19.62,416.84,2.84,0.03,0.05,1.03
15.12,7.12,8.46,25.2,23.08,427.84,3.03,0.03,0.05,1.17
14.99,7.59,8.49,27.7,23.15,435.02,2.86,0.03,0.05,1.21
14.22,7.63,8.42,27.79,22.5,428.12,3.09,0.03,0.05,1.28
14.01,7.75,8.41,27.56,21.91,427.22,7.37,0.03,0.05,1.16
13.96,7.95,8.35,34.13,27.42,403.56,5,0.04,0.05,1.37
14.19,8.43,8.43,32.93,34.3,399.94,3.11,0.04,0.05,1.14
13.09,8.48,8.27,41.62,27.55,404.65,2.79,0.05,0.06,1.42
12.86,6.98,8.19,36.18,25.27,406,2.71,0.06,0.06,1.61
13.23,6.05,8.25,27.71,26.13,402.3,2.72,0.05,0.05,1.7
13.59,5.83,8.33,21.87,25.01,399.34,2.68,0.04,0.05,1.46
13.9,5.74,8.39,23.31,24.51,398.23,2.69,0.03,0.05,1.38
14.22,5.81,8.44,18.26,23.5,398.41,2.6,0.03,0.05,1.19
14.77,6.12,8.51,15.1,23.54,413.02,3.08,0.03,0.04,1.08
14.52,6.2,8.49,17.74,24.66,406.58,3.3,0.03,0.05,1.16
14.22,6.52,8.47,16.01,29.83,407.09,3.47,0.03,0.05,0.96
13.84,6.4,8.42,16.6,27.16,412.21,3.47,0.03,0.04,1.22
13.71,5.84,8.37,25.92,25.73,418.59,5.15,0.03,0.05,1.02
13.88,4.63,8.34,25.32,23.66,422.2,3.97,0.03,0.05,1.09
14.17,4.2,8.38,20.48,25.39,403.39,3.95,0.03,0.05,1.05
14.26,4.06,8.38,21.11,23.82,403.78,3.93,0.03,0.05,1.06
14.45,4.01,8.43,19.72,24.76,404.33,3.52,0.03,0.05,1.03
14.4,4.27,8.45,16.21,21.74,403.51,3.79,0.03,0.05,0.91
14.38,5.24,8.44,15.26,19.14,403.54,4.07,0.03,0.04,0.74
14.54,5.2,8.44,15.59,23.19,403.94,3.95,0.03,0.05,0.75
14.14,5.72,8.37,20.17,23.57,409.71,3.67,0.03,0.05,0.82
13.66,5.51,8.3,18.2,27.13,406.84,3.62,0.03,0.05,1.08
13.41,5.34,8.26,14.51,29.22,407.11,3.81,0.03,0.04,0.95
13.78,5.64,8.3,14.1,29.61,405.63,3.07,0.03,0.03,0.79
13.79,5.98,8.29,14.9,30.45,406.41,3.12,0.03,0.03,0.93
13.94,6.5,8.32,15.51,38.1,410.26,3.14,0.03,0.03,0.97
13.84,6.68,8.36,13.73,46.2,407.22,3.07,0.03,0.03,0.89
13.42,6.68,8.28,15.6,43.42,403.13,3.25,0.03,0.03,0.89
13.33,6.61,8.21,12.77,39.32,406.54,4.65,0.03,0.03,0.9
13.22,6.63,8.18,11.15,37.38,407.86,8.35,0.03,0.03,0.86
13.04,6.86,8.14,13.9,33.52,412.72,2.3,0.03,0.03,0.94
13.07,7.01,8.14,11.41,32.11,407.27,2.47,0.03,0.03,0.81
12.92,6.92,8.08,11.83,31.23,402.27,2.51,0.03,0.03,0.82
12.73,6.74,8.04,14.56,21.38,408.65,1.95,0.03,0.03,0.92
12.83,6.95,8.05,13.53,15.75,409.14,2.43,0.03,0.03,0.87
12.78,6.94,8.01,15.14,12.87,411.33,1.97,0.04,0.03,0.89
12.69,7.11,7.98,14.45,11.7,410.83,1.97,0.04,0.03,0.88
12.58,7.54,8.04,15.33,12.33,405.79,1.6,0.03,0.03,0.8
12.34,7.89,8.01,14.56,11.52,406.06,1.64,0.03,0.04,0.82
12.38,8.36,7.99,14.53,7.83,407.66,1.86,0.03,0.03,0.98
12.43,8.32,7.95,19.95,9.18,437.48,1.37,0.04,0.03,1.11
12.34,7.67,7.95,14.48,14.12,418.01,1.32,0.04,0.03,1.14
12.17,7.3,7.92,10.62,20.09,411.56,1.34,0.04,0.03,0.95
11.95,7.16,7.88,12.56,21.01,407.27,0.95,0.04,0.03,0.92
12.5,7.31,7.93,13.79,8.32,413.67,2.6,0.03,0.03,0.91
12.73,7.48,7.95,12.61,7.51,412.99,5.16,0.03,0.03,0.85
12.62,7.61,7.94,18.93,6.43,408.65,3.56,0.04,0.03,0.87
12.85,8,8.01,21.33,10.27,408.65,3.65,0.03,0.04,0.92
12.88,8.67,8.05,19.58,12.1,409.09,3.61,0.03,0.03,0.88
13.14,9.11,8.1,17.98,13.91,410.61,3.6,0.03,0.03,0.87
13.02,9.63,8.1,17.77,12.63,409.05,3.69,0.03,0.03,0.88
12.64,10.78,8.01,15.3,12.42,407.99,3.57,0.03,0.03,0.71
13.1,11.99,8.13,11.97,12.2,408.11,3.54,0.03,0.03,0.74
