time,DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
2022/11/1,15.30 ,26.47 ,12.23 ,104.86 ,18.19 ,616.53 ,4.85 ,0.14 ,0.11 ,0.87 
2022/11/2,15.46 ,26.52 ,12.28 ,106.73 ,20.34 ,617.12 ,4.85 ,0.12 ,0.11 ,0.95 
2022/11/3,15.43 ,26.40 ,12.29 ,95.80 ,20.71 ,619.53 ,4.97 ,0.12 ,0.11 ,0.88 
2022/11/4,15.07 ,25.48 ,12.23 ,107.62 ,16.94 ,616.19 ,4.83 ,0.12 ,0.11 ,0.61 
2022/11/5,15.05 ,24.34 ,12.23 ,102.53 ,15.77 ,612.71 ,4.86 ,0.15 ,0.12 ,0.47 
2022/11/6,15.25 ,23.67 ,12.23 ,107.21 ,17.05 ,614.62 ,4.96 ,0.14 ,0.11 ,0.61 
2022/11/7,15.28 ,24.32 ,12.20 ,119.50 ,16.07 ,607.22 ,4.82 ,0.17 ,0.14 ,1.01 
2022/11/8,15.95 ,25.30 ,12.28 ,104.43 ,17.93 ,605.81 ,4.59 ,0.15 ,0.12 ,1.04 
2022/11/9,16.00 ,25.36 ,12.29 ,103.00 ,20.92 ,608.11 ,4.50 ,0.14 ,0.12 ,0.99 
2022/11/10,16.00 ,26.21 ,12.31 ,97.43 ,20.16 ,610.93 ,4.41 ,0.12 ,0.11 ,1.02 
2022/11/11,15.94 ,26.99 ,12.44 ,75.98 ,25.71 ,607.07 ,4.50 ,0.11 ,0.09 ,1.07 
2022/11/12,15.20 ,27.54 ,12.31 ,106.72 ,22.60 ,606.86 ,4.53 ,0.11 ,0.11 ,1.19 
2022/11/13,14.62 ,25.91 ,12.02 ,172.39 ,16.82 ,610.58 ,4.97 ,0.24 ,0.15 ,0.53 
2022/11/14,14.87 ,23.74 ,12.15 ,106.80 ,24.74 ,618.94 ,4.64 ,0.18 ,0.11 ,0.43 
2022/11/15,15.28 ,22.55 ,12.26 ,94.69 ,23.93 ,612.06 ,4.39 ,0.15 ,0.09 ,0.56 
2022/11/16,15.36 ,21.55 ,12.14 ,112.41 ,18.32 ,611.81 ,4.38 ,0.20 ,0.11 ,0.59 
2022/11/17,15.65 ,21.06 ,12.11 ,109.54 ,21.99 ,609.62 ,4.29 ,0.20 ,0.11 ,0.90 
2022/11/18,15.34 ,21.32 ,12.09 ,105.03 ,23.81 ,609.56 ,4.21 ,0.21 ,0.11 ,0.56 
2022/11/19,15.10 ,21.53 ,11.97 ,118.22 ,17.20 ,607.70 ,4.27 ,0.24 ,0.11 ,0.58 
2022/11/20,15.25 ,22.60 ,12.02 ,115.60 ,16.10 ,607.10 ,4.38 ,0.26 ,0.11 ,0.78 
2022/11/21,15.84 ,22.28 ,12.11 ,96.47 ,19.75 ,606.72 ,4.21 ,0.18 ,0.11 ,0.84 
2022/11/22,15.97 ,22.62 ,12.12 ,81.66 ,20.88 ,601.06 ,4.24 ,0.12 ,0.09 ,0.72 
2022/11/23,15.66 ,22.69 ,12.12 ,82.37 ,21.84 ,603.75 ,4.10 ,0.14 ,0.09 ,0.72 
2022/11/24,15.56 ,23.24 ,12.11 ,88.86 ,16.50 ,603.98 ,4.01 ,0.20 ,0.09 ,0.82 
2022/11/25,15.66 ,22.72 ,12.11 ,103.87 ,16.12 ,603.37 ,4.91 ,0.20 ,0.11 ,1.30 
2022/11/26,15.77 ,22.22 ,12.11 ,118.87 ,15.74 ,602.74 ,5.81 ,0.20 ,0.11 ,1.78 
2022/11/27,15.88 ,21.70 ,12.11 ,133.88 ,15.37 ,602.13 ,6.71 ,0.20 ,0.11 ,2.27 
2022/11/28,15.98 ,21.20 ,12.09 ,148.89 ,14.99 ,601.51 ,7.63 ,0.20 ,0.12 ,2.76 
2022/11/29,15.98 ,21.20 ,12.09 ,148.89 ,14.99 ,601.51 ,7.63 ,0.20 ,0.12 ,2.76 
2022/11/30,16.44 ,18.51 ,12.14 ,126.09 ,15.28 ,601.81 ,7.79 ,0.21 ,0.12 ,2.99 
2022/12/1,17.26 ,15.13 ,12.18 ,106.20 ,14.44 ,601.95 ,4.71 ,0.21 ,0.11 ,2.18 
2022/12/2,17.84 ,13.86 ,12.22 ,99.66 ,13.13 ,605.97 ,4.39 ,0.20 ,0.11 ,1.74 
2022/12/3,17.92 ,13.48 ,12.18 ,100.50 ,12.37 ,606.28 ,2.62 ,0.20 ,0.11 ,1.63 
2022/12/4,17.71 ,13.05 ,12.03 ,86.85 ,12.54 ,654.85 ,2.27 ,0.26 ,0.09 ,2.55 
2022/12/5,18.33 ,12.34 ,12.15 ,92.86 ,10.02 ,608.95 ,1.97 ,0.20 ,0.11 ,2.30 
2022/12/6,18.33 ,12.25 ,12.15 ,86.13 ,9.62 ,633.76 ,1.80 ,0.21 ,0.11 ,1.77 
2022/12/7,17.89 ,12.46 ,12.06 ,73.41 ,11.13 ,715.27 ,2.44 ,0.32 ,0.09 ,2.36 
2022/12/8,16.30 ,14.32 ,11.90 ,50.04 ,7.79 ,843.75 ,4.07 ,0.34 ,0.08 ,2.79 
2022/12/9,17.64 ,13.15 ,12.03 ,70.27 ,11.25 ,691.15 ,4.13 ,0.26 ,0.09 ,1.81 
2022/12/10,17.40 ,13.63 ,11.97 ,66.61 ,9.78 ,754.69 ,3.84 ,0.29 ,0.09 ,2.30 
2022/12/11,17.96 ,13.36 ,12.05 ,68.47 ,11.00 ,750.48 ,4.10 ,0.26 ,0.09 ,3.69 
2022/12/12,18.33 ,12.60 ,12.08 ,77.68 ,11.41 ,739.50 ,4.15 ,0.26 ,0.09 ,3.74 
2022/12/13,18.70 ,12.06 ,12.12 ,91.87 ,11.71 ,677.05 ,4.21 ,0.21 ,0.09 ,3.75 
2022/12/14,19.03 ,11.56 ,12.17 ,74.19 ,12.55 ,721.78 ,4.33 ,0.20 ,0.09 ,3.83 
2022/12/15,19.54 ,10.92 ,12.23 ,89.90 ,15.59 ,612.53 ,4.19 ,0.17 ,0.09 ,3.57 
2022/12/16,19.46 ,10.55 ,12.17 ,88.45 ,13.51 ,616.83 ,4.42 ,0.14 ,0.09 ,3.43 
2022/12/17,19.87 ,9.15 ,12.17 ,152.00 ,13.85 ,614.04 ,4.73 ,0.17 ,0.12 ,3.72 
2022/12/18,20.51 ,7.52 ,12.22 ,166.06 ,14.47 ,610.05 ,3.81 ,0.20 ,0.14 ,4.39 
